CreatedById,CreatedDate,Description,Id,IsActive,IsArchived,IsDeleted,IsStandard,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,Name,SystemModstamp
005N1000006UI0rIAG,2017-01-10T15:55:45.000+0000,,01s0Y000002Z6laQAC,True,FALSE,FALSE,True,005N1000006UI0rIAG,2023-04-13T10:03:31.000+0000,,,Standard Price Book,2025-09-09T15:26:29.000Z
005N1000006UI0rIAG,2020-08-05T21:05:40.000+0000,,01s3z000002MIwTAAW,True,FALSE,FALSE,False,005N1000006UI0rIAG,2020-08-05T21:05:40.000+0000,,,Datapath,2025-09-09T15:26:29.000Z
005N1000006UI0rIAG,2020-08-05T21:06:44.000+0000,,01s3z000002MIwUAAW,True,FALSE,FALSE,False,005N1000006UI0rIAG,2020-08-05T21:06:44.000+0000,,,onemedia 2020,2025-09-09T15:26:29.000Z
