CreatedById,CreatedDate,Id,IsActive,IsArchived,IsDeleted,LastModifiedById,LastModifiedDate,Mark_Up__c,Name,Onemedia_discount__c,Onemedia_unit_cost__c,Pricebook2Id,Product2Id,ProductCode,SystemModstamp,Trade_Unit_Price__c,Trade_discount__c,Tripleplay_Unit_Price__c,Tripleplay_discount__c,UnitPrice,UseStandardPrice,X1_years_apps_discount__c
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyaQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather (2 day forecast) - Standalone - Annual Licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS4QAK,4320,2025-09-09T15:26:29.000Z,,,,,50.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZybQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather (2 day forecast) -2-10 players- Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS5QAK,4320,2025-09-09T15:26:29.000Z,,,,,100.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZycQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather (2 day forecast)  - 11-99 players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS6QAK,,2025-09-09T15:26:29.000Z,,,,,200.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZydQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather (2 day forecast) - 99+ players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS7QAK,,2025-09-09T15:26:29.000Z,,,,,400.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyeQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather Pro (Up to 10 day forecast)- Standalone - Annual Licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS8QAK,,2025-09-09T15:26:29.000Z,,,,,75.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyfQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather Pro (Up to 10 day forecast)-2-10 players- Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaS9QAK,,2025-09-09T15:26:29.000Z,,,,,150.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZygQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather Pro (Up to 10 day forecast)- 11-99 players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSAQA0,,2025-09-09T15:26:29.000Z,,,,,300.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyhQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Weather Pro - Supports up to 100 worldwide destinations for 1x player,,,01s0Y000002Z6laQAC,01t0Y000001TaSBQA0,,2025-09-09T15:26:29.000Z,,,,,600.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyiQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Tube status - Standalone - Annual Licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSCQA0,,2025-09-09T15:26:29.000Z,,,,,75.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyjQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Tube status - 2-10 players- Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSDQA0,,2025-09-09T15:26:29.000Z,,,,,150.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZykQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Tube status - 11-99 players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSEQA0,,2025-09-09T15:26:29.000Z,,,,,300.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZylQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Tube status - 99+ players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSFQA0,,2025-09-09T15:26:29.000Z,,,,,600.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZymQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Timetable - Standalone - Annual Licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSGQA0,4320,2025-09-09T15:26:29.000Z,,,,,75.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZynQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Timetable - 2-10 players- Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSHQA0,4320,2025-09-09T15:26:29.000Z,,,,,150.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyoQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Timetable - 11-99 players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSIQA0,4320,2025-09-09T15:26:29.000Z,,,,,300.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZypQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:29.000+0000,,Timetable - 99+ players - Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSJQA0,4320,2025-09-09T15:26:29.000Z,,,,,600.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyqQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:19.000+0000,,Stock & shares - Standalone - Annual Licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSKQA0,4320,2025-09-09T15:26:29.000Z,,,,,175.0,False,
005N1000006UI0rIAG,2017-03-16T10:45:10.000+0000,01u0Y000001dZyrQAE,False,FALSE,FALSE,005N1000006UI0rIAG,2022-09-30T09:59:19.000+0000,,Stock & shares- 2-10 players- Annual licence,,,01s0Y000002Z6laQAC,01t0Y000001TaSLQA0,4320,2025-09-09T15:26:29.000Z,,,,,350.0,False,
